ID;Lat;Lon;UTM X (m);UTM Y (m);Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;Remarks
2831;-1.6427792;101.1524658;739474.39;9818294.038;685.55;-685.55;2023;2;27;22;34;17.8799992;0.0017119;WCC
2832;-1.6471143;101.136735;737722.914;9817816.42;249.09;-249.09;2023;2;27;22;34;39.3600006;0.0018406;WCC
2833;-1.6413083;101.1339844;737417.44;9818458.938;781.16;-781.16;2023;2;27;22;34;42.2400017;0.0015507;WCC
2834;-1.6404554;101.1395101;738032.592;9818552.619;763.73;-763.73;2023;3;8;4;53;44.1699982;0.0035248;WCC
2835;-1.6395392;101.1365479;737702.985;9818654.311;850.93;-850.93;2023;3;12;23;29;24.1599998;0.0019459;WCC
2836;-1.6408011;101.1366781;737717.328;9818514.719;921.02;-921.02;2023;3;19;14;58;26.7600002;0.0019411;WCC
2837;-1.6417248;101.1444499;738582.28;9818411.624;851.21;-851.21;2023;3;19;14;58;27.3299999;0.0027382;WCC
2838;-1.6384537;101.1434001;738465.816;9818773.561;920.95;-920.95;2023;3;19;14;58;41.3800011;0.0023762;WCC
2839;-1.6434943;101.1436198;738489.673;9818216;751.59;-751.59;2023;3;19;14;59;5.1100001;0.0023403;WCC
2840;-1.6412926;101.1427327;738391.193;9818459.634;881.8;-881.8;2023;3;19;15;0;56.3300018;0.0026334;WCC
2841;-1.6396339;101.1466553;738828.007;9818642.632;801.85;-801.85;2023;3;19;15;7;48.6300011;0.0031194;WCC
2842;-1.6416439;101.1433757;738462.723;9818420.7;755.9;-755.9;2023;3;19;15;8;6.1500001;0.0029655;WCC
2843;-1.6406083;101.1449951;738643.097;9818535.053;761.03;-761.03;2023;3;19;15;8;45.7799988;0.0030321;WCC
2844;-1.6415429;101.1450846;738652.949;9818431.668;674.68;-674.68;2023;3;19;15;10;1.91;0.0026664;WCC
2845;-1.6419734;101.1412272;738223.539;9818384.511;997.03;-997.03;2023;3;19;15;10;17.0100002;0.0022382;WCC
2846;-1.6413987;101.1341553;737436.452;9818448.919;912.4;-912.4;2023;3;19;15;10;42.4500008;0.0023398;WCC
2847;-1.6388391;101.1437907;738509.248;9818730.886;1382.66;-1382.66;2023;3;19;15;12;7.9000001;0.0605982;Reloc
2848;-1.6374379;101.1450684;738651.632;9818885.719;1047.42;-1047.42;2023;3;19;15;12;41.6699982;0.0036008;WCC
2849;-1.6400622;101.1454346;738692.082;9818595.404;948.19;-948.19;2023;3;19;15;13;3;0.0032302;WCC
2850;-1.6471227;101.1348796;737516.394;9817815.712;740.32;-740.32;2023;3;19;15;13;29.1800003;0.0565994;Reloc
2851;-1.6406796;101.1416097;738266.267;9818527.571;897.87;-897.87;2023;3;19;15;14;14.54;0.0019246;WCC
2852;-1.644471;101.1292806;736893.501;9818109.678;106.47;-106.47;2023;3;19;15;14;23.7800007;0.0029501;WCC
2853;-1.6399812;101.1427002;738387.731;9818604.69;740.2;-740.2;2023;3;19;15;17;1.04;0.0025122;WCC
2854;-1.6410613;101.1414307;738246.298;9818485.373;750.22;-750.22;2023;3;19;15;17;15.4799995;0.0028585;WCC
2855;-1.6391871;101.1443197;738568.088;9818692.331;944.39;-944.39;2023;3;19;15;17;23.2600002;0.0028485;WCC
2856;-1.6431569;101.1408691;738183.539;9818253.648;757.59;-757.59;2023;3;19;15;17;27.5699997;0.0030791;WCC
2857;-1.6392114;101.1489909;739088.029;9818689.086;908.43;-908.43;2023;3;19;15;17;37.3300018;0.0028812;WCC
2858;-1.6407223;101.1421387;738325.144;9818522.785;872.66;-872.66;2023;3;30;10;37;55.4199982;0.0029633;WCC
2859;-1.6413502;101.1458496;738738.122;9818452.89;728.95;-728.95;2023;3;30;10;38;31.5;0.0032716;WCC
2860;-1.6440174;101.1359619;737637.23;9818159.055;891.29;-891.29;2023;3;30;10;38;50.8300018;0.0017762;WCC
2861;-1.6428148;101.1428792;738407.319;9818291.248;959.51;-959.51;2023;3;30;10;38;55.5999985;0.0025318;WCC
2862;-1.6413284;101.1427572;738393.916;9818455.671;664.99;-664.99;2023;3;30;10;39;42.1599998;0.0028146;WCC
2863;-1.6407609;101.1362874;737673.845;9818519.212;1230.52;-1230.52;2023;3;30;10;39;48.7299995;0.0032021;WCC
2864;-1.6416743;101.1425863;738374.853;9818417.432;820.98;-820.98;2023;3;30;10;40;7.7399998;0.0028884;WCC
2865;-1.6410945;101.1400553;738093.201;9818481.864;881.82;-881.82;2023;3;30;10;40;14.5100002;0.0036738;WCC
2866;-1.6386784;101.1361003;737653.265;9818749.575;870.53;-870.53;2023;3;30;10;40;28.9500008;0.0025572;WCC
2867;-1.6402883;101.1408529;738182.076;9818570.942;768.64;-768.64;2023;3;30;10;40;36.4500008;0.0026314;WCC
2868;-1.6389098;101.1437419;738503.808;9818723.072;742.05;-742.05;2023;3;30;10;40;42.5200005;0.002835;WCC
2869;-1.6491044;101.1404541;738136.64;9817595.854;820.24;-820.24;2023;3;30;10;41;9.3100004;0.0379335;Reloc
2870;-1.6418803;101.1424072;738354.893;9818394.668;795.01;-795.01;2023;3;30;10;41;20.1399994;0.0026765;WCC
2871;-1.6458921;101.1383382;737901.507;9817951.414;847.97;-847.97;2023;3;30;10;41;29.8400002;0.0019915;WCC
2872;-1.6441165;101.1309489;737079.236;9818148.69;488.7;-488.7;2023;3;30;10;42;3.1800001;0.001944;WCC
2873;-1.6418203;101.1443034;738565.962;9818401.078;737.45;-737.45;2023;3;30;10;42;11.6000004;0.0029342;WCC
2874;-1.642564;101.1407633;738171.833;9818319.241;840.13;-840.13;2023;3;30;10;45;34.4500008;0.0023861;WCC
2875;-1.6397877;101.1376872;737829.768;9818626.689;897.47;-897.47;2023;3;30;10;49;11.3500004;0.0022716;WCC
2876;-1.70846981;101.1385958;737922.619;9811029.762;4221.591;-4221.591;2023;4;1;11;45;0.952045;0.035999;Initial
2877;-1.6383073;101.1475179;738924.179;9818789.263;887.64;-887.64;2023;4;4;21;16;12.3800001;0.0027754;WCC
2878;-1.6387717;101.1358236;737622.456;9818739.289;1038.24;-1038.24;2023;4;4;21;17;38.9199982;0.0025383;WCC
2879;-1.6402879;101.144637;738603.276;9818570.535;701.12;-701.12;2023;4;4;21;19;37.7599983;0.0023294;WCC
2880;-1.6396163;101.1503092;739234.718;9818644.143;932.49;-932.49;2023;4;4;21;20;7.8800001;0.0014257;WCC
2881;-1.6390204;101.1446289;738602.525;9818710.733;972.02;-972.02;2023;4;4;21;21;24.2000008;0.0028438;WCC
2882;-1.6400358;101.1468994;738855.129;9818598.149;561.81;-561.81;2023;4;4;21;21;38.0400009;0.0019312;WCC
2883;-1.6393172;101.136263;737671.3;9818678.9;829.93;-829.93;2023;4;4;21;21;52.7999992;0.0026278;WCC
2884;-1.6445655;101.1415771;738262.178;9818097.761;554.41;-554.41;2023;4;4;21;21;54.9599991;0.0035944;WCC
2885;-1.6388741;101.1530029;739534.639;9818725.915;905.06;-905.06;2023;4;4;21;22;3.5999999;0.0045873;WCC
2886;-1.6437597;101.1410075;738198.873;9818186.957;851.9;-851.9;2023;4;7;6;28;12.2600002;0.0024402;WCC
2887;-1.57286463;101.1304305;737029.762;9826029.762;5244.318;-5244.318;2023;4;13;0;27;12.004878;0.033094;Initial
2888;-1.6864198;101.134904;737514.397;9813469.13;649.26;-649.26;2023;4;14;3;58;7.1500001;0.0808172;Reloc
2889;-1.6029692;101.1294352;736915.545;9822700.078;-65.63;65.63;2023;4;14;5;51;20.7199993;0.0119808;Reloc
2890;-1.610348;101.1275146;736700.915;9821884.15;171.85;-171.85;2023;4;14;5;51;25.7900009;0.0146727;Reloc
2891;-1.57125237;101.1282898;736791.667;9826208.333;301.136;-301.136;2023;4;18;3;36;9.806259;0.036917;Initial
2892;-1.60608184;101.1434325;738473.214;9822354.167;31.25;-31.25;2023;5;6;6;37;14.316549;0.005403;Initial
2893;-1.6384872;101.1444743;738585.38;9818769.728;962.7;-962.7;2023;5;15;17;26;39.8400002;0.0028097;WCC
2894;-1.637904;101.1486165;739046.51;9818833.741;936.34;-936.34;2023;5;15;17;32;30.3999996;0.0026053;WCC
2895;-1.6444649;101.139738;738057.484;9818109.107;717.59;-717.59;2023;5;19;22;49;48.4399986;0.0031598;WCC
2896;-1.6419876;101.1449544;738638.404;9818382.495;815.95;-815.95;2023;5;19;22;54;48.9799995;0.0022412;WCC
2897;-1.6411415;101.1409505;738192.838;9818476.559;847.59;-847.59;2023;5;19;22;54;53.5200005;0.0024268;WCC
2898;-1.6030107;101.1047933;734172.698;9822698.325;6674.29;-6674.29;2023;5;25;3;57;54.7999992;0.0094967;Reloc
2899;-1.6043247;101.1114176;734909.882;9822552.229;5521.31;-5521.31;2023;5;25;3;58;41.2599983;0.0082921;Reloc
2900;-1.64535381;101.1552388;739782.738;9818008.929;258.523;-258.523;2023;5;27;15;41;24.023228;0.02045;Initial
2901;-1.6416136;101.1343994;737463.596;9818425.121;720.14;-720.14;2023;5;27;15;42;8.6300001;0.0019234;WCC
2902;-1.60730015;101.1363482;737684.524;9822220.238;414.773;-414.773;2023;5;28;12;27;6.912541;0.013219;Initial
2903;-1.6432858;101.1391276;737989.682;9818239.599;659.89;-659.89;2023;5;28;18;49;16.2399998;0.002847;WCC
2904;-1.6909949;101.1298828;736954.96;9812963.701;1465.48;-1465.48;2023;6;2;17;52;26.6599998;0.0908462;Reloc
2905;-1.6472425;101.1241374;736320.703;9817803.739;-279.08;279.08;2023;6;6;1;40;43.9900017;0.0023499;WCC
2906;-1.6411544;101.1322835;737228.136;9818476.163;567.22;-567.22;2023;6;6;1;42;24.8099995;0.0017169;WCC
2907;-1.6396119;101.1359456;737635.936;9818646.341;787.34;-787.34;2023;6;6;1;48;22.3099995;0.0021184;WCC
2908;-1.641072;101.1447835;738619.49;9818483.789;741.59;-741.59;2023;6;6;1;48;43.0999985;0.0033075;WCC
2909;-1.6428947;101.1480306;738980.702;9818281.794;612.63;-612.63;2023;6;6;1;51;12.5600004;0.0033197;WCC
2910;-1.6430224;101.1461914;738775.969;9818267.889;662.99;-662.99;2023;6;6;1;51;15.8500004;0.0029505;WCC
2911;-1.6427284;101.1415853;738263.308;9818300.959;862.31;-862.31;2023;6;6;1;51;30.2099991;0.0028034;WCC
2912;-1.6432568;101.1456055;738710.725;9818242.033;935.95;-935.95;2023;6;6;1;52;19.0499992;0.0033916;WCC
2913;-1.6427205;101.1435954;738487.049;9818301.592;892.63;-892.63;2023;6;6;1;52;40.2999992;0.003207;WCC
2914;-1.6412449;101.1438151;738511.679;9818464.781;948.38;-948.38;2023;6;6;1;52;50.2700005;0.0029627;WCC
2915;-1.6427709;101.1449463;738637.409;9818295.856;773.37;-773.37;2023;6;6;1;53;27.9899998;0.0027042;WCC
2916;-1.6445278;101.1420329;738312.916;9818101.876;854.12;-854.12;2023;6;6;1;54;5.2199998;0.0033488;WCC
2917;-1.6431403;101.1451742;738662.732;9818254.97;829.45;-829.45;2023;6;6;1;54;28.8600006;0.0029294;WCC
